,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Open,High,Low,Close,Volume,Market Cap,Coin
0,2.04,3.77,1.45,3.77,222502,-,1.42,1.63,0.814017,0.814017,15278,-,0.30543,0.306843,0.278945,0.290506,1223650,30543000,0.225539,0.239611,0.225539,0.23925500000000002,227447,22553900,0.310093,0.315487,0.290832,0.31423,477805,32586900,10.94,10.95,9.83,9.85,20375100,1129230000,LSK
0,2.62,3.35,1.24,2.84,150428000,-,3.06,4.0,3.06,3.78,156705000,738726000,,,,,,,,,,,,,,,,,,,,,,,,,ONT
0,0.408919,0.571872,0.403292,0.49705200000000005,71509,-,1.13,1.18,0.959147,1.0,52840,-,8.38,8.73,7.65,7.84,84307600,3183380000,,,,,,,,,,,,,,,,,,,ICX
0,0.11095,0.115141,0.110216,0.112791,7543670,-,0.05811,0.05811,0.045425,0.045743,890057,39812900,0.110076,0.112285,0.10357,0.103933,375120,108645000,0.354766,0.35558,0.29501,0.306456,14943800,350154000,,,,,,,,,,,,,BTM
0,4293.37,5941.8,2006.47,2044.47,2532790,1383590,69.26,75.52,66.21,70.96,1262350,6962100,38.71,40.16,37.9,38.22,939370,20464400,72.1,79.95,69.65,76.82,9219590,84612600,206.59,227.38,205.07,216.04,37788300,509003000,,,,,,,ZEC
0,0.009104,0.009104,0.007643,0.008675,23600,-,0.010166,0.011585,0.009119,0.010289,2073,528160,0.035271,0.040381,0.034879,0.038819,75174,2679340,0.152048,0.164256,0.144284,0.152921,81030,16613800,17.16,17.3,15.89,16.2,88114800,2286130000,,,,,,,NANO
0,479.82,539.72,479.82,500.13,7652060,-,264.18,275.05,232.92,241.72,111451000,-,230.64,230.64,193.28,198.44,182217000,3869280000,,,,,,,,,,,,,,,,,,,BTG
0,6.5e-05,6.5e-05,6e-05,5.9999999999999995e-05,2593,10175300,3.7e-05,4.9e-05,3.7e-05,3.7e-05,1098,5851570,1.7e-05,1.8e-05,1.7e-05,1.7e-05,6129,2698560,1e-05,1.1e-05,9e-06,1.1e-05,5622,1614130,2.9e-05,3e-05,2.8e-05,2.9999999999999997e-05,5177,5053540,3.8e-05,4.5e-05,3.6e-05,4e-05,966,6935730,BCN
0,0.642902,1.07,0.642902,0.8776809999999999,28820,2607840,0.382281,0.382281,0.318782,0.343168,1927,11827100,3.24,3.64,2.93,3.28,622397,276548000,0.26737,0.272494,0.256623,0.262203,49942,46717100,0.163581,0.165954,0.156822,0.160473,338387,38725000,1.86,1.93,1.85,1.91,3208590,477253000,STEEM
0,4.37,4.45,3.97,4.21,189439000,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WAN
0,4.6e-05,5.3e-05,4.1e-05,4.1e-05,25580,-,3.3e-05,3.3e-05,3.1e-05,3.1e-05,619,173518,1.9e-05,2.3e-05,1.9e-05,2.2e-05,1126,139492,7.9e-05,8.3e-05,7e-05,8.3e-05,15665,843528,0.000511,0.000517,0.000504,0.000512,41105,8975280,0.006733,0.008893,0.006214,0.0075840000000000005,23953700,192532000,SC
0,2.81,3.63,2.67,3.33,2704070,-,5.92,6.56,5.61,6.43,979250,219131000,2.57,2.79,2.15,2.71,292696,105866000,42.54,63.79,42.22,55.64,10494700,1574260000,,,,,,,,,,,,,PPT
0,0.013212,0.013882,0.013104,0.013487,19494,26424000,0.010784,0.015204,0.010673,0.015203999999999999,501478,21566200,0.02459,0.02472,0.021554,0.023524,471716,49176700,0.010705,0.010844,0.009767,0.0102,130744,26740300,0.00563,0.005643,0.004752,0.0050479999999999995,194031,14142900,0.004236,0.004978,0.004236,0.004724,759926,10869700,BTS
0,65.82,66.18,60.66,62.81,290526,-,14.63,15.88,14.04,14.33,286241,-,,,,,,,,,,,,,,,,,,,,,,,,,BTCP
0,0.000559,0.000904,0.00029,0.000298,-,3488670,0.000278,0.000354,0.000276,0.000342,577691,7619940,0.000867,0.000873,0.000835,0.00084,835369,52155800,0.000382,0.000406,0.000381,0.000392,523038,31387300,0.000208,0.000218,0.000206,0.00020899999999999998,415692,20073600,0.000129,0.000133,0.000127,0.00013000000000000002,131709,13176600,DOGE
0,0.013826,0.013897,0.009226,0.011175,48504,-,0.049149,0.049802,0.036248,0.037784,278851,4819890,0.06476,0.071325,0.064682,0.067969,24676,6355850,0.095849,0.098826,0.093827,0.09511900000000001,79781,9418180,6.75,7.71,6.56,7.62,19820000,664642000,,,,,,,STRAT
0,0.186912,0.200603,0.186912,0.200603,22131,-,0.145499,0.154199,0.122292,0.15304,6183,-,2.1,2.18,1.86,2.1,2443920,384571000,0.994873,1.01,0.858844,0.9042680000000001,365024,357739000,,,,,,,,,,,,,RHOC
0,1.33,1.39,1.15,1.21,83734,-,0.144975,0.201825,0.138431,0.180402,261410,14497500,0.158486,0.168586,0.149882,0.163984,59938,15848600,0.309466,0.311222,0.26237,0.26237,129518,30946600,2.26,2.74,2.26,2.47,1273880,225588000,,,,,,,WAVES
0,31.9,31.9,31.4,31.68,1900,-,10.08,10.75,9.81,10.2,32866,20150800,10.3,10.54,9.64,9.82,17214,20607000,11.6,12.74,11.59,12.11,7963,23204000,17.04,17.71,16.45,16.95,108470,34083200,214.18,220.22,213.18,215.72,9949580,428358000,DGD
0,22.1,24.61,22.05,22.65,13325,-,,,,,,,,,,,,,,,,,,,1526.66,1590.37,1478.97,1535.29,1786450,943823000,,,,,,,MKR
0,0.953412,1.24,0.718432,0.9731299999999999,127149,-,2.32,2.58,2.11,2.4,51701,2517010,1.45,1.47,1.4,1.41,9627,2322060,1.55,1.62,1.53,1.55,14060,3605800,2.63,3.47,2.62,3.37,726595,9812420,98.17,102.88,88.6,89.28,7570670,653214000,DCR
0,0.136822,0.136822,0.135573,0.13603900000000002,4921770,-,0.05329,0.055534,0.051374,0.052565999999999995,9066980,346987000,,,,,,,,,,,,,,,,,,,,,,,,,ZIL
0,61.71,74.44,61.71,69.3,23322800,-,39.72,40.56,34.25,40.4,4319190,-,19.18,20.99,17.04,17.04,6214440,-,,,,,,,,,,,,,,,,,,,BCD
0,0.061775,0.061775,0.05615,0.05615,13747700,-,0.058944,0.059565,0.053043,0.054009,17827200,204562000,0.023438,0.027928,0.023342,0.027295999999999997,3457510,81342300,0.140301,0.145707,0.129764,0.141716,25580000,486913000,,,,,,,,,,,,,SNT
0,0.684297,0.697188,0.669747,0.695589,1518,-,0.76005,0.863344,0.417138,0.49590500000000004,24158,-,1.03,1.17,0.898506,1.07,36173,-,0.556659,0.578857,0.528782,0.5445770000000001,1436770,129713000,,,,,,,,,,,,,AE
0,0.111725,0.280031,0.103962,0.224399,5232600,67034800,0.176447,0.216716,0.156424,0.20529299999999998,3595670,88223500,0.194054,0.202626,0.189433,0.199258,1370970,97026900,0.988344,1.09,0.988344,1.03,6619560,501382000,,,,,,,,,,,,,ZRX
0,0.115808,0.115808,0.110987,0.11098699999999999,22487,-,0.10121,0.101252,0.085423,0.08701,32391,10189800,0.298602,0.298941,0.280917,0.291869,122483,30135200,0.976347,1.0,0.937979,0.984273,324965,98557800,5.9,6.0,5.44,5.92,6080110,611589000,,,,,,,KMD
0,0.616026,0.62608,0.571931,0.6255689999999999,20958,-,0.749875,0.825266,0.741446,0.769519,50093,-,7.37,7.37,4.47,5.27,12032900,524081000,,,,,,,,,,,,,,,,,,,AION
0,0.118854,0.176763,0.07665,0.10480999999999999,200829,-,0.080817,0.090174,0.068065,0.090112,356187,23127400,0.215917,0.243299,0.206603,0.22550100000000003,5444650,61789100,0.619509,0.64845,0.603624,0.63632,1817100,347673000,,,,,,,,,,,,,LRC
0,0.015051,0.019346,0.013465,0.013566,7130,-,0.011694,0.013385,0.009901,0.012121999999999999,8249,7963450,0.023365,0.024681,0.020687,0.021586,67948,19159300,0.19733,0.204886,0.179326,0.196725,5500230,161943000,0.191339,0.209591,0.189694,0.204708,2011560,159392000,,,,,,,GNT
0,1.47,1.48,1.46,1.47,728,-,1.59,1.76,1.58,1.67,170,-,2.26,2.29,2.14,2.15,220,-,7.52,8.41,6.33,7.48,7498,-,5.13,5.51,5.1,5.41,353304,56375000,18.72,19.23,18.48,19.09,930751,205872000,REP
0,0.023525,0.029004,0.019169,0.026628,98024200,-,0.041117,0.04192,0.039317,0.041144,38058200,279350000,,,,,,,,,,,,,,,,,,,,,,,,,IOST
0,0.036725,0.03697,0.036284,0.036969999999999996,36,-,,,,,,,0.015028,0.015836,0.014276,0.014453,104878,15013300,0.013526,0.014685,0.013415,0.014274,94480,13512900,0.091327,0.102477,0.084861,0.098723,2245490,91235800,,,,,,,ARDR
0,0.001489,0.001593,0.001201,0.00137,27811,641002,0.000318,0.000348,0.000295,0.000333,4273,229792,0.00022,0.000226,0.000191,0.000215,5375,238529,0.00022,0.00023,0.000208,0.000218,674,273065,0.000108,0.000109,7.8e-05,8.499999999999999e-05,8492,376768,0.000152,0.000186,0.000145,0.000165,33145,880902,DGB
