,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
304, 305 ,  ZSC Zeusshield ,ZSC," $22,493,403 ", $0.019506 ,"  1,153,170,765 * "," $96,666 ",1.59%,8.11%,52.10%
305, 306 ,  HTML HTMLCOIN ,HTML," $22,141,897 ", $0.000336 ,"   65,858,322,497 "," $72,095 ",7.63%,10.59%,-14.41%
306, 307 ,  SNC SunContract ,SNC," $22,069,645 ", $0.184428 ,"  119,665,373 * "," $4,639,400 ",-0.75%,1.27%,6.66%
307, 308 ,  XWC WhiteCoin ,XWC," $21,875,876 ", $0.087900 ,"  248,871,461 * "," $95,696 ",-3.86%,9.20%,26.36%
308, 309 ,  COSS COSS ,COSS," $21,640,616 ", $0.332691 ,"  65,047,195 * "," $3,541,800 ",-0.29%,3.73%,38.75%
309, 310 ,  FLASH Flash ,FLASH," $21,582,000 ", $0.023980 ,"  900,000,000 * "," $6,601 ",-0.28%,7.74%,15.83%
310, 311 ,  XSH SHIELD ,XSH," $21,572,334 ", $0.044781 ,"  481,730,692 "," $230,468 ",2.90%,-4.74%,89.65%
311, 312 ,  PPY Peerplays ,PPY," $21,467,784 ", $5.42 ,"  3,964,371 * "," $9,854 ",2.04%,7.87%,34.94%
312, 313 ,  EVX Everex ,EVX," $21,433,500 ", $1.30 ,"  16,500,000 * "," $2,656,210 ",0.38%,7.25%,25.29%
313, 314 ,  RVR RevolutionVR ,RVR," $21,392,490 ", $0.101869 ,"  210,000,000 * "," $5,616,370 ",1.42%,7.49%,60.52%
314, 315 ,  TRST WeTrust ,TRST," $21,346,798 ", $0.231659 ,"  92,147,500 * "," $219,692 ",-0.09%,4.16%,49.11%
315, 316 ,  RFR Refereum ,RFR," $21,303,341 ", $0.009050 ,"  2,353,910,877 * "," $487,678 ",-0.72%,7.54%,69.02%
316, 317 ,  THC HempCoin ,THC," $21,271,530 ", $0.092293 ,"  230,478,760 "," $92,236 ",4.69%,16.02%,92.70%
317, 318 ,  BLK BlackCoin ,BLK," $21,206,771 ", $0.276191 ,"  76,782,989 * "," $251,061 ",-0.54%,5.46%,29.40%
318, 319 ,  BCA Bitcoin Atom ,BCA," $21,205,526 ", $1.18 ,"  17,950,400 "," $18,346 ",4.08%,-15.22%,-19.50%
319, 320 ,  MTH Monetha ,MTH," $20,857,945 ", $0.096040 ,"  217,179,767 * "," $780,367 ",-0.01%,3.62%,22.11%
320, 321 ,  NMR Numeraire ,NMR," $20,789,377 ", $15.37 ,"  1,352,480 * "," $114,939 ",0.40%,0.73%,18.30%
321, 322 ,  DMD Diamond ,DMD," $20,702,563 ", $7.57 ,"  2,736,266 "," $11,460 ",-1.24%,5.42%,28.86%
322, 323 ,  IDH indaHash ,IDH," $20,696,341 ", $0.051749 ,"  399,936,259 * "," $31,499 ",-2.61%,6.05%,8.00%
323, 324 ,  FOTA Fortuna ,FOTA," $20,695,447 ", $0.051730 ,"  400,069,727 * "," $761,584 ",0.29%,2.46%,17.17%
324, 325 ,  EDR E-Dinar Coin ,EDR," $20,424,439 ", $0.023047 ,"  886,211,988 "," $46,536 ",-0.05%,1.59%,1.89%
325, 326 ,  RADS Radium ,RADS," $20,223,807 ", $5.82 ,"  3,474,433 * "," $1,961,130 ",-0.53%,9.61%,29.47%
326, 327 ,  PEPECASH Pepe Cash ,PEPECASH," $20,170,883 ", $0.028738 ,"  701,884,009 * "," $56,823 ",0.03%,7.06%,22.24%
327, 328 ,  LKK Lykke ,LKK," $20,162,641 ", $0.064508 ,"  312,559,343 * "," $31,120 ",-6.07%,-2.83%,-5.55%
328, 329 ,  MTN Medicalchain ,MTN," $20,042,160 ", $0.108336 ,"  185,000,000 * "," $6,678,470 ",-1.34%,7.56%,23.69%
329, 330 ,  OCN Odyssey ,OCN," $20,009,600 ", $0.010005 ,"  2,000,000,000 * "," $17,391,400 ",1.40%,11.76%,5.77%
330, 331 ,  SWFTC SwftCoin ,SWFTC," $19,883,675 ", $0.011362 ,"  1,750,000,000 * "," $17,488,700 ",-0.68%,15.01%,44.03%
331, 332 ,  MDA Moeda Loyalty... ,MDA," $19,208,791 ", $0.978598 ,"  19,628,888 * "," $6,758,110 ",-1.85%,6.15%,36.82%
332, 333 ,  PHR Phore ,PHR," $19,091,219 ", $1.50 ,"  12,740,475 * "," $87,440 ",0.95%,2.18%,14.76%
333, 334 ,  SIB SIBCoin ,SIB," $19,076,498 ", $1.14 ,"  16,667,247 "," $192,214 ",-0.87%,1.52%,23.30%
334, 335 ,  ZCL ZClassic ,ZCL," $19,042,301 ", $5.08 ,"  3,745,550 "," $379,842 ",0.02%,6.71%,16.41%
335, 336 ,  GRC GridCoin ,GRC," $19,019,550 ", $0.048729 ,"  390,312,753 "," $64,763 ",-0.57%,2.21%,24.65%
336, 337 ,  BLT Bloom ,BLT," $18,931,565 ", $0.397098 ,"  47,674,793 * "," $12,917 ",0.13%,12.21%,30.99%
337, 338 ,  CHSB SwissBorg ,CHSB," $18,846,683 ", $0.032730 ,"  575,821,133 * "," $44,870 ",-0.95%,4.78%,25.80%
338, 339 ,  UQC Uquid Coin ,UQC," $18,761,700 ", $1.88 ,"  10,000,000 * "," $42,727 ",0.09%,7.27%,22.70%
339, 340 ,  PARETO Pareto Network ,PARETO," $18,613,757 ", $0.081565 ,"  228,207,933 * "," $270,584 ",3.33%,26.62%,126.15%
340, 341 ,  PRO Propy ,PRO," $18,438,105 ", $1.06 ,"  17,459,665 * "," $7,651,660 ",-0.58%,4.58%,26.26%
341, 342 ,  AIDOC AI Doctor ,AIDOC," $18,401,181 ", $0.043813 ,"  419,997,463 * "," $3,744,130 ",-0.85%,11.22%,35.38%
342, 343 ,  KEY Selfkey ,KEY," $18,365,540 ", $0.009603 ,"  1,912,447,546 * "," $104,390 ",0.69%,3.78%,33.56%
343, 344 ,  MSP Mothership ,MSP," $18,330,620 ", $0.130933 ,"  140,000,000 * "," $102,299 ",0.94%,-3.53%,16.96%
344, 345 ,  VRC VeriCoin ,VRC," $18,330,078 ", $0.592983 ,"  30,911,642 "," $454,843 ",-2.06%,7.14%,31.11%
345, 346 ,  BBN Banyan Network ,BBN," $18,307,024 ", $0.117025 ,"  156,436,867 * "," $1,127,490 ",-1.18%,5.52%,39.94%
346, 347 ,  DLT Agrello ,DLT," $18,233,884 ", $0.212074 ,"  85,978,873 * "," $1,159,640 ",0.43%,9.32%,38.98%
347, 348 ,  OMNI Omni ,OMNI," $18,098,591 ", $32.27 ,"  560,873 * "," $29,309 ",0.99%,6.06%,45.96%
348, 349 ,  STQ Storiqa ,STQ," $18,013,557 ", $0.002319 ,"  7,767,544,247 * "," $82,761 ",3.23%,2.46%,10.50%
349, 350 ,  XPM Primecoin ,XPM," $17,804,508 ", $0.765486 ,"  23,259,091 "," $90,816 ",-0.46%,0.58%,20.72%
350, 351 ,  ACAT Alphacat ,ACAT," $17,662,070 ", $0.006330 ,"  2,790,428,084 * "," $561,888 ",3.22%,5.84%,30.13%
351, 352 ,  SENC Sentinel Chain ,SENC," $17,558,159 ", $0.115542 ,"  151,963,434 * "," $961,758 ",-0.22%,21.73%,67.02%
352, 353 ,  STK STK ,STK," $17,526,508 ", $0.051272 ,"  341,834,575 * "," $2,493,140 ",0.80%,1.27%,26.69%
353, 354 ,  ATM ATMChain ,ATM," $17,496,203 ", $0.003754 ,"  4,660,285,460 * "," $392,420 ",-0.13%,-6.93%,31.04%
354, 355 ,  INCNT Incent ,INCNT," $17,205,147 ", $0.373890 ,"  46,016,602 * "," $26,075 ",-0.79%,3.17%,29.62%
355, 356 ,  HVN Hive Project ,HVN," $17,187,713 ", $0.045834 ,"  375,000,000 * "," $50,526 ",0.01%,7.98%,21.60%
356, 357 ,  TIX Blocktix ,TIX," $17,096,000 ", $0.427400 ,"  40,000,000 * "," $2,210,820 ",-0.51%,4.89%,17.82%
357, 358 ,  MUE MonetaryUnit ,MUE," $16,851,247 ", $0.130604 ,"  129,025,501 "," $211,295 ",-0.74%,7.18%,32.83%
358, 359 ,  BPT Blockport ,BPT," $16,849,412 ", $0.324146 ,"  51,980,933 * "," $112,650 ",0.66%,11.93%,26.56%
359, 360 ,  DIME Dimecoin ,DIME," $16,764,938 ", $0.000031 ,"  539,096,740,560 "," $27,026 ",4.28%,15.95%,3.12%
360, 361 ,  YEE YEE ,YEE," $16,689,109 ", $0.012224 ,"  1,365,218,125 * "," $2,540,670 ",-0.96%,3.06%,14.67%
361, 362 ,  PZM PRIZM ,PZM," $16,552,555 ", $0.976699 ,"  16,947,447 * "," $6,578 ",-0.11%,3.34%,3.85%
362, 363 ,  XTO Tao ,XTO," $16,427,753 ", $0.499697 ,"  32,875,429 "," $35,896 ",48.96%,-18.58%,30.50%
363, 364 ,  POSW PoSW Coin ,POSW," $16,416,137 ", $0.372248 ,"  44,100,000 * "," $10,537 ",1.12%,11.71%,40.56%
364, 365 ,  CLR ClearCoin ,CLR," $16,160,880 ", $0.020201 ,"  800,000,000 * "," $58,625 ",6.44%,42.55%,132.73%
365, 366 ,  PASC Pascal Coin ,PASC," $16,152,707 ", $0.822389 ,"  19,641,200 "," $79,025 ",-0.95%,3.17%,38.83%
366, 367 ,  SHIP ShipChain ,SHIP," $16,055,183 ", $0.100066 ,"  160,445,939 * "," $30,121 ",-1.82%,7.08%,29.56%
367, 368 ,  XPA XPA ,XPA," $15,959,625 ", $0.279123 ,"  57,177,751  * "," $183,608 ",-3.79%,-10.86%,110.79%
368, 369 ,  OAX OAX ,OAX," $15,815,924 ", $0.632403 ,"  25,009,250 * "," $618,942 ",2.03%,8.69%,26.59%
369, 370 ,  ARN Aeron ,ARN," $15,805,660 ", $1.22 ,"  13,000,000 * "," $2,609,940 ",0.06%,7.72%,22.98%
370, 371 ,  BERRY Rentberry ,BERRY," $15,765,365 ", $0.060286 ,"  261,510,851 * "," $54,802 ",0.45%,7.49%,-22.77%
371, 372 ,  SOC All Sports ,SOC," $15,652,254 ", $0.032217 ,"  485,833,833 * "," $4,899,110 ",1.69%,0.25%,28.88%
372, 373 ,  BIS Bismuth ,BIS," $15,633,439 ", $1.74 ,"  8,970,815 "," $37,034 ",-0.03%,3.53%,25.75%
373, 374 ,  PLBT Polybius ,PLBT," $15,562,600 ", $3.92 ,"  3,969,565 * "," $131,809 ",1.66%,36.55%,62.07%
374, 375 ,  DADI DADI ,DADI," $15,300,399 ", $0.199057 ,"  76,864,411 * "," $3,054,270 ",-0.93%,5.47%,30.41%
375, 376 ,  CAPP Cappasity ,CAPP," $15,234,275 ", $0.036859 ,"  413,312,230 * "," $45,233 ",-0.62%,2.84%,37.72%
376, 377 ,  SWM Swarm ,SWM," $15,174,431 ", $0.296878 ,"  51,113,355 * "," $5,614 ",-0.60%,4.85%,48.23%
377, 378 ,  BOT Bodhi ,BOT," $15,153,840 ", $0.378846 ,"  40,000,000 * "," $7,468,590 ",0.55%,8.69%,31.72%
378, 379 ,  QBT Qbao ,QBT," $15,151,919 ", $0.231853 ,"  65,351,403 * "," $75,059 ",-0.30%,13.96%,26.63%
379, 380 ,  FDX FidentiaX ,FDX," $15,113,070 ", $0.143934 ,"  105,000,000 * "," $5,449 ",7.23%,44.61%,76.71%
380, 381 ,  EXP Expanse ,EXP," $14,985,942 ", $1.90 ,"  7,906,397 "," $119,080 ",-1.05%,3.52%,34.83%
381, 382 ,  ICOS ICOS ,ICOS," $14,805,771 ", $26.05 ,"  568,266 * "," $20,838 ",-0.12%,3.33%,3.21%
382, 383 ,  CV carVertical ,CV," $14,654,570 ", $0.002652 ,"  5,525,981,077 * "," $35,197 ",0.47%,6.78%,18.74%
383, 384 ,  LA LATOKEN ,LA," $14,620,830 ", $0.180421 ,"  81,037,294 * "," $1,106,220 ",0.28%,5.70%,19.93%
384, 385 ,  PRG Paragon ,PRG," $14,532,227 ", $0.223791 ,"  64,936,599 * "," $34,123 ",-0.20%,2.46%,15.49%
385, 386 ,  RBY Rubycoin ,RBY," $14,518,483 ", $0.568958 ,"  25,517,670 * "," $72,483 ",-3.20%,0.15%,59.53%
386, 387 ,  MEE CoinMeet ,MEE," $14,464,246 ", $0.042542 ,"  339,999,999 * "," $1,186 ",-0.17%,6.98%,11.52%
387, 388 ,  CAS Cashaa ,CAS," $14,397,126 ", $0.040610 ,"  354,519,081 * "," $48,594 ",3.11%,-0.13%,-7.78%
388, 389 ,  CAT BitClave ,CAT," $14,394,231 ", $0.028708 ,"  501,394,406 * "," $1,260,850 ",-0.14%,6.01%,10.52%
389, 390 ,  COLX ColossusXT ,COLX," $14,352,489 ", $0.001338 ,"  10,724,738,924 "," $346,898 ",-3.55%,51.55%,116.19%
390, 391 ,  ZOI Zoin ,ZOI," $14,349,189 ", $0.820254 ,"  17,493,592 "," $29,450 ",0.24%,-6.13%,6.25%
391, 392 ,  SLR SolarCoin ,SLR," $14,216,307 ", $0.337152 ,"  42,165,869 * "," $73,813 ",0.46%,3.20%,15.97%
392, 393 ,  MTX Matryx ,MTX," $14,114,849 ", $0.607762 ,"  23,224,303 * "," $2,977,330 ",0.82%,8.97%,1.08%
393, 394 ,  TSL Energo ,TSL," $14,101,458 ", $0.024228 ,"  582,029,029 * "," $142,682 ",0.23%,9.08%,14.78%
394, 395 ,  DNA EncrypGen ,DNA," $14,083,707 ", $0.227383 ,"  61,938,257 * "," $18,870 ",-1.72%,9.77%,10.36%
395, 396 ,  BITUSD bitUSD ,BITUSD," $14,023,518 ", $1.11 ,"  12,681,900 * "," $1,983,180 ",0.85%,1.41%,1.84%
396, 397 ,  NLC2 NoLimitCoin ,NLC2," $13,970,335 ", $0.067948 ,"  205,603,330 * "," $62,534 ",-0.72%,-0.32%,23.74%
397, 398 ,  DRT DomRaider ,DRT," $13,568,300 ", $0.022939 ,"  591,500,000 * "," $170,126 ",-0.69%,16.89%,42.54%
398, 399 ,  LMC LoMoCoin ,LMC," $13,562,401 ", $0.059474 ,"  228,040,319 * "," $49,093 ",-0.21%,7.45%,39.66%
399, 400 ,  MOT Olympus Labs ,MOT," $13,463,212 ", $0.351002 ,"  38,356,511 * "," $214,367 ",-0.31%,-0.10%,42.56%
400, 401 ,  LINDA Linda ,LINDA," $13,430,686 ", $0.001501 ,"  8,945,322,671 "," $88,833 ",0.50%,2.61%,20.92%
401, 402 ,  EVR Everus ,EVR," $13,390,643 ", $0.162042 ,"  82,636,866 * "," $249,657 ",-4.46%,-4.88%,23.14%
402, 403 ,  BCC BitConnect ,BCC," $13,387,969 ", $1.42 ,"  9,406,222 "," $6,076 ",-0.16%,-0.21%,79.55%
403, 404 ,  OCT OracleChain ,OCT," $13,361,340 ", $0.445378 ,"  30,000,000 * "," $71,495 ",-0.48%,9.97%,21.94%
404, 405 ,  BMC Blackmoon ,BMC," $13,340,481 ", $0.630151 ,"  21,170,292 * "," $886,000 ",-0.01%,16.62%,34.77%
405, 406 ,  DTB Databits ,DTB," $13,263,747 ", $0.583078 ,"  22,747,809 * "," $35,458 ",-0.19%,13.88%,50.80%
406, 407 ,  BDG BitDegree ,BDG," $13,257,910 ", $0.037392 ,"  354,569,198 * "," $21,297 ",-0.27%,20.44%,22.88%
407, 408 ,  TAU Lamden ,TAU," $13,242,531 ", $0.093116 ,"  142,215,728 * "," $107,594 ",0.38%,8.67%,14.18%
408, 409 ,  COV Covesting ,COV," $13,162,713 ", $0.752155 ,"  17,500,000 * "," $26,660 ",0.14%,7.67%,40.98%
409, 410 ,  DXT Datawallet ,DXT," $12,972,353 ", $0.033244 ,"  390,222,225 * "," $358,065 ",-1.11%,4.50%,15.44%
410, 411 ,  ZAP Zap ,ZAP," $12,925,453 ", $0.115743 ,"  111,673,736 * "," $19,866 ",-4.15%,3.79%,22.89%
411, 412 ,  BSD BitSend ,BSD," $12,894,529 ", $0.684821 ,"  18,829,050 "," $112,576 ",-0.20%,5.38%,23.80%
412, 413 ,  MDT Measurable Da... ,MDT," $12,845,969 ", $0.051043 ," 251,670,039 * "," $338,386 ",-1.08%,6.75%,2.78%
413, 414 ,  DIVX Divi ,DIVX," $12,823,660 ", $2.49 ,"  5,143,207 * "," $31,996 ",-6.63%,7.34%,11.45%
414, 415 ,  XMY Myriad ,XMY," $12,787,945 ", $0.008159 ,"  1,567,263,500 "," $229,752 ",0.92%,14.45%,49.72%
415, 416 ,  XRL Rialto ,XRL," $12,780,732 ", $0.175062 ,"  73,006,886 * "," $6,189 ",-0.16%,7.87%,35.81%
416, 417 ,  CLAM Clams ,CLAM," $12,749,448 ", $4.30 ,"  2,963,479 * "," $46,866 ",0.13%,5.61%,31.79%
417, 418 ,  EKO EchoLink ,EKO," $12,739,985 ", $0.034430 ,"  370,030,007 * "," $2,679,270 ",1.91%,6.60%,3.38%
418, 419 ,  ALIS ALIS ,ALIS," $12,643,605 ", $0.328076 ,"  38,538,647 * "," $16,992 ",-3.54%,6.51%,10.43%
419, 420 ,  SWT Swarm City ,SWT," $12,573,060 ", $1.54 ,"  8,153,259 * "," $267,908 ",1.51%,4.65%,38.06%
420, 421 ,  MOON Mooncoin ,MOON," $12,483,193 ", $0.000056 ,"  223,952,737,125 "," $11,398 ",-0.71%,-2.04%,-37.39%
421, 422 ,  OK OKCash ,OK," $12,455,832 ", $0.168413 ,"  73,960,036 * "," $1,284,690 ",1.44%,14.54%,39.09%
422, 423 ,  AURA Aurora DAO ,AURA," $12,343,956 ", $0.121129 ,"  101,907,520 * "," $38,101 ",-4.27%,6.22%,66.32%
423, 424 ,  BITG Bitcoin Green ,BITG," $12,256,149 ", $4.47 ,"  2,740,617 "," $105,161 ",7.96%,0.13%,-8.44%
424, 425 ,  IXT iXledger ,IXT," $12,249,066 ", $0.342355 ,"  35,778,844 * "," $180,943 ",2.15%,2.20%,14.63%
425, 426 ,  MWAT Restart Energ... ,MWAT," $12,207,516 ", $0.029416 ,"  415,000,000 * "," $238,582 ",-1.60%,1.02%,20.48%
426, 427 ,  BEE Bee Token ,BEE," $12,156,186 ", $0.075303 ,"  161,430,086 * "," $22,831 ",6.40%,12.80%,48.32%
427, 428 ,  BANCA Banca ,BANCA," $12,150,789 ", $0.001041 ,"  11,675,255,732 * "," $1,938,470 ",-0.35%,18.55%,79.06%
428, 429 ,  PRA ProChain ,PRA," $12,110,063 ", $0.244338 ,"   49,562,749 * "," $966,246 ",-1.14%,2.16%,12.57%
429, 430 ,  MUSE MUSE ,MUSE," $11,874,737 ", $0.814353 ,"  14,581,806 * ", $896 ,1.83%,11.20%,3.26%
430, 431 ,  BBR Boolberry ,BBR," $11,851,358 ", $1.04 ,"  11,370,499 "," $10,902 ",13.70%,16.97%,34.82%
431, 432 ,  TRUE True Chain ,TRUE," $11,806,550 ", $0.472262 ," 25,000,000 * "," $8,889,190 ",-0.33%,4.58%,-6.49%
432, 433 ,  ART Maecenas ,ART," $11,803,633 ", $0.391495 ,"  30,150,150 * "," $7,127 ",-4.26%,-15.18%,-0.42%
433, 434 ,  PTOY Patientory ,PTOY," $11,761,260 ", $0.168018 ,"  70,000,000 * "," $627,000 ",0.40%,7.85%,48.98%
434, 435 ,  HWC HollyWoodCoin ,HWC," $11,737,054 ", $3.20 ,"  3,666,317 "," $91,814 ",-0.18%,-3.53%,0.84%
435, 436 ,  STX Stox ,STX," $11,652,970 ", $0.276595 ,"  42,130,083 * "," $595,712 ",0.29%,4.25%,35.73%
436, 437 ,  RNT OneRoot Network ,RNT," $11,612,932 ", $0.049705 ,"  233,638,984 * "," $824,289 ",-0.93%,16.20%,54.17%
437, 438 ,  RMT SureRemit ,RMT," $11,578,400 ", $0.023157 ,"  500,000,000 * "," $42,932 ",1.54%,7.10%,14.71%
438, 439 ,  ALQO ALQO ,ALQO," $11,570,702 ", $0.318797 ,"  36,294,890 ", $849 ,-0.18%,20.99%,16.09%
439, 440 ,  DIM DIMCOIN ,DIM," $11,538,142 ", $0.005514 ,"  2,092,475,837 * "," $17,429 ",-0.27%,16.69%,59.25%
440, 441 ,  CREDO Credo ,CREDO," $11,534,803 ", $0.020976 ,"  549,891,703 * "," $1,043 ",41.31%,39.46%,39.69%
441, 442 ,  LUX LUXCoin ,LUX," $11,533,017 ", $7.72 ,"  1,493,398 "," $215,120 ",2.43%,8.72%,58.33%
442, 443 ,  DBET DecentBet ,DBET," $11,514,753 ", $0.095215 ,"  120,934,742 * "," $11,979 ",-2.03%,1.24%,20.66%
443, 444 ,  IPL InsurePal ,IPL," $11,450,648 ", $0.056968 ," 201,000,000 * "," $15,432 ",-0.07%,2.82%,2.51%
444, 445 ,  AIT AICHAIN ,AIT," $11,320,628 ", $0.021157 ,"  535,067,071 * "," $40,275 ",10.07%,5.09%,19.14%
445, 446 ,  OXY Oxycoin ,OXY," $11,298,800 ", $0.104762 ,"  107,852,085 "," $19,981 ",-0.46%,4.39%,21.38%
446, 447 ,  FLDC FoldingCoin ,FLDC," $11,215,804 ", $0.019144 ,"  585,880,527 * "," $99,592 ",-2.17%,3.10%,55.25%
447, 448 ,  NEOS NeosCoin ,NEOS," $11,178,238 ", $2.97 ,"  3,766,405 "," $375,315 ",-0.69%,0.75%,39.89%
448,  449 ,  NYC NewYorkCoin ,NYC," $11,145,686 ", $0.000083 ,"  134,024,588,760 "," $21,513 ",-1.84%,4.54%,19.21%
449, 450 ,  HEAT HEAT ,HEAT," $11,063,856 ", $0.329051 ," 33,623,528 * "," $7,869 ",-1.62%,16.50%,53.33%
450, 451 ,  LYM Lympo ,LYM," $11,035,299 ", $0.020216 ,"  545,883,074 * "," $68,646 ",2.63%,4.73%,7.98%
451, 452 ,  AXP aXpire ,AXP," $10,941,983 ", $0.041291 ,"  265,000,000 * "," $232,740 ",-1.45%,21.03%,53.38%
452, 453 ,  NEU Neumark ,NEU," $10,872,474 ", $0.378528 ,"  28,723,038 * "," $171,122 ",0.10%,6.44%,2.92%
453, 454 ,  PLU Pluton ,PLU," $10,871,494 ", $12.79 ,"  850,000 * "," $2,213 ",-0.17%,23.45%,61.28%
454, 455 ,  DICE Etheroll ,DICE," $10,860,707 ", $1.55 ,"  7,001,623 * "," $30,152 ",0.28%,24.81%,66.09%
455, 456 ,  DBIX DubaiCoin ,DBIX," $10,822,000 ", $4.85 ,"  2,232,901 "," $121,689 ",-2.00%,2.29%,49.29%
456, 457 ,  TGT Target Coin ,TGT," $10,764,934 ", $0.011303 ,"  952,429,892 * ", $876 ,-0.18%,28.92%,18.34%
457, 458 ,  ENRG Energycoin ,ENRG," $10,733,503 ", $0.088128 ,"  121,794,475 "," $11,480 ",1.43%,7.50%,32.52%
458, 459 ,  XAUR Xaurum ,XAUR," $10,629,888 ", $0.083612 ,"  127,133,669 * "," $49,775 ",-0.19%,8.74%,0.36%
459, 460 ,  WCT Waves Communi... ,WCT," $10,573,655 ", $1.06 ," 9,969,597 * "," $14,942 ",0.26%,8.99%,20.30%
460, 461 ,  XSPEC Spectrecoin ,XSPEC," $10,565,856 ", $0.508334 ,"  20,785,264 * "," $135,179 ",-0.94%,30.83%,59.43%
461, 462 ,  TX TransferCoin ,TX," $10,491,725 ", $1.63 ,"  6,422,535 * "," $411,515 ",-0.58%,3.48%,17.83%
462, 463 ,  SNOV Snovio ,SNOV," $10,488,511 ", $0.025899 ,"  404,982,126 * "," $72,842 ",-1.51%,0.15%,22.15%
463, 464 ,  TOA ToaCoin ,TOA," $10,465,130 ", $0.004289 ,"  2,440,192,106 "," $36,310 ",-3.10%,5.56%,25.23%
464, 465 ,  REM Remme ,REM," $10,365,730 ", $0.017268 ,"  600,295,910 * "," $224,585 ",2.54%,1.89%,47.55%
465, 466 ,  CAN CanYaCoin ,CAN," $10,361,876 ", $0.252640 ,"  41,014,393 * "," $76,943 ",-0.54%,4.35%,22.97%
466, 467 ,  IFT InvestFeed ,IFT," $10,283,106 ", $0.053731 ,"  191,381,257 * "," $19,042 ",-3.37%,13.42%,44.81%
467, 468 ,  UNIT Universal Cur... ,UNIT," $10,221,599 ", $0.753985 ,"  13,556,767 "," $23,364 ",-0.51%,0.16%,12.09%
468, 469 ,  TCT TokenClub ,TCT," $10,198,225 ", $0.021183 ,"  481,425,335 * "," $85,037 ",2.40%,8.96%,31.58%
469, 470 ,  MINT Mintcoin ,MINT," $10,165,560 ", $0.000407 ,"  24,947,260,808 * "," $9,925 ",9.68%,7.90%,20.70%
470, 471 ,  PST Primas ,PST," $10,164,378 ", $0.198523 ,"  51,200,000 * "," $666,318 ",0.75%,5.72%,44.37%
471, 472 ,  NXC Nexium ,NXC," $10,157,859 ", $0.152702 ,"  66,520,799 * "," $13,557 ",-0.05%,5.55%,31.83%
472, 473 ,  GOLOS Golos ,GOLOS," $10,154,105 ", $0.081547 ,"  124,518,891 "," $27,613 ",-1.42%,9.96%,34.23%
473, 474 ,  DEB Debitum Network ,DEB," $10,042,655 ", $0.054816 ,"  183,207,313 * "," $35,489 ",-1.79%,6.08%,6.06%
474, 475 ,  MUSIC Musicoin ,MUSIC," $10,000,903 ", $0.014327 ,"  698,045,864 "," $68,789 ",0.40%,6.91%,42.50%
475, 476 ,  CXO CargoX ,CXO," $9,980,408 ", $0.077325 ,"  129,071,409 * "," $31,848 ",-2.00%,7.59%,74.02%
476, 477 ,  CHP CoinPoker ,CHP," $9,893,675 ", $0.059772 ,"  165,522,741 * "," $22,619 ",-0.85%,6.53%,11.48%
477, 478 ,  RVT Rivetz ,RVT," $9,878,523 ", $0.376404 ,"  26,244,468 * "," $1,971 ",-0.37%,3.00%,37.04%
478, 479 ,  AUR Auroracoin ,AUR," $9,734,173 ", $1.12 ,"  8,658,139 "," $11,220 ",0.25%,6.19%,17.26%
479, 480 ,  TUSD True USD ,TUSD," $9,673,824 ", $1.01 ,"  9,573,115 * "," $3,478,770 ",0.24%,0.86%,-0.07%
480, 481 ,  DYN Dynamic ,DYN," $9,667,733 ", $1.98 ,"  4,873,758 * "," $1,024,370 ",-0.90%,7.27%,2.28%
481, 482 ,  MEDIC MedicCoin ,MEDIC," $9,643,670 ", $0.055281 ,"  174,448,814 "," $13,289 ",-0.82%,-6.67%,44.83%
482, 483 ,  OTN Open Trading ... ,OTN," $9,613,782 ", $2.68 ,"  3,592,379 * "," $47,981 ",0.08%,4.76%,31.81%
483, 484 ,  GAM Gambit ,GAM," $9,461,058 ", $7.88 ,"  1,200,279 * "," $15,894 ",-0.18%,0.34%,11.91%
484, 485 ,  ARY Block Array ,ARY," $9,376,038 ", $0.137015 ,"  68,430,738 * "," $63,603 ",-0.01%,2.55%,42.42%
485, 486 ,  HKN Hacken ,HKN," $9,310,396 ", $2.27 ,"  4,103,322 * "," $117,415 ",-6.28%,4.14%,22.91%
486, 487 ,  TIME Chronobank ,TIME," $9,295,164 ", $13.09 ,"  710,113 * "," $168,800 ",-0.48%,3.93%,24.58%
487, 488 ,  SYNX Syndicate ,SYNX," $9,265,971 ", $0.474408 ,"  19,531,650 * "," $460,618 ",1.36%,9.65%,46.03%
488, 489 ,  HMC Hi Mutual Soc... ,HMC," $9,259,062 ", $0.022913 ,"  404,100,000 * "," $1,069,540 ",0.40%,3.90%,10.34%
489, 490 ,  FLIXX Flixxo ,FLIXX," $9,239,123 ", $0.119737 ,"  77,161,802 * "," $592,149 ",0.19%,11.78%,55.49%
490, 491 ,  TFD TE-FOOD ,TFD," $9,177,704 ", $0.022197 ,"  413,458,521 * "," $117,440 ",-0.30%,3.46%,19.55%
491, 492 ,  TKS Tokes ,TKS," $9,126,294 ", $2.73 ,"  3,341,190 * "," $110,293 ",12.81%,28.13%,65.78%
492, 493 ,  FLO FlorinCoin ,FLO," $9,068,164 ", $0.063196 ,"  143,492,921 "," $59,943 ",2.58%,-16.70%,14.10%
493, 494 ,  HBT Hubii Network ,HBT," $9,004,759 ", $0.666209 ,"  13,516,418 * "," $2,161 ",-3.66%,10.63%,19.65%
