,#,Name,Symbol,Market Cap,Price,Circulating Supply,Volume (24h),% 1h,% 24h,% 7d
173, 174 ,  AST AirSwap ,AST," $60,885,450 ", $0.405903 ,"  150,000,000 * "," $4,415,110 ",1.75%,16.75%,61.30%
174, 175 ,  BIX Bibox Token ,BIX," $60,734,160 ", $0.573407 ,"  105,918,066 * "," $11,042,200 ",-0.47%,4.48%,31.56%
175, 176 ,  BAY BitBay ,BAY," $60,655,774 ", $0.059972 ,"  1,011,394,806 * "," $1,074,520 ",-0.86%,7.77%,56.42%
176, 177 ,  MED MediBloc ,MED," $59,967,828 ", $0.020216 ,"  2,966,384,100 * "," $660,246 ",-0.83%,5.94%,33.16%
177, 178 ,  SLS SaluS ,SLS," $58,912,969 ", $58.31 ,"  1,010,381 * "," $3,775,380 ",-0.29%,5.49%,24.39%
178, 179 ,  SNM SONM ,SNM," $58,659,750 ", $0.163125 ,"  359,600,000 * "," $10,338,100 ",2.92%,17.09%,43.95%
179, 180 ,  PURA Pura ,PURA," $57,929,327 ", $0.334000 ,"  173,441,097 "," $4,213,800 ",0.42%,8.13%,29.12%
180, 181 ,  ADX AdEx ,ADX," $56,214,726 ", $0.765548 ,"  73,430,701 * "," $7,293,040 ",-0.31%,4.33%,26.95%
181, 182 ,  SPHTX SophiaTX ,SPHTX," $55,789,898 ", $0.290831 ,"  191,829,268 * "," $416,684 ",-0.07%,7.16%,37.77%
182, 183 ,  ION ION ,ION," $55,605,768 ", $2.69 ,"  20,665,144 * "," $960,794 ",-0.30%,4.67%,11.45%
183, 184 ,  UTK UTRUST ,UTK," $55,233,661 ", $0.192475 ,"  286,965,375 * "," $3,210,420 ",-4.38%,31.27%,64.29%
184, 185 ,  RPX Red Pulse ,RPX," $55,116,728 ", $0.101439 ,"  543,348,500  * "," $5,193,790 ",-0.67%,3.76%,43.06%
185, 186 ,  QRL Quantum Resis... ,QRL," $54,884,440 ", $1.06 ,"  52,000,000 * "," $330,440 ",-0.67%,3.15%,24.93%
186, 187 ,  TEL Telcoin ,TEL," $54,573,963 ", $0.001904 ,"  28,661,591,326 * "," $331,740 ",1.48%,1.74%,22.25%
187, 188 ,  EDO Eidoo ,EDO," $54,565,017 ", $1.86 ,"  29,261,461 * "," $7,109,580 ",-0.89%,8.00%,18.71%
188, 189 ,  SNGLS SingularDTV ,SNGLS," $54,170,940 ", $0.090285 ,"  600,000,000 * "," $1,814,230 ",-0.15%,6.42%,57.61%
189, 190 ,  EDG Edgeless ,EDG," $53,694,789 ", $0.654445 ,"  82,046,297 * "," $2,533,560 ",-1.95%,6.99%,24.50%
190, 191 ,  SPANK SpankChain ,SPANK," $53,537,041 ", $0.178431 ,"  300,043,386 * "," $164,302 ",-0.31%,5.43%,45.31%
191, 192 ,  AMB Ambrosus ,AMB," $52,958,180 ", $0.366262 ,"  144,590,975 * "," $1,491,090 ",-0.86%,3.95%,34.19%
192, 193 ,  C20 CRYPTO20 ,C20," $52,179,781 ", $1.32 ,"  39,602,141 * "," $1,161,660 ",0.02%,8.27%,28.62%
193, 194 ,  GRS Groestlcoin ,GRS," $52,057,882 ", $0.745403 ,"  69,838,574 "," $8,530,680 ",-1.64%,3.81%,9.68%
194, 195 ,  EMC2 Einsteinium ,EMC2," $51,810,828 ", $0.238994 ,"  216,787,150 "," $3,982,470 ",0.51%,9.35%,39.92%
195, 196 ,  EVN Envion ,EVN," $50,746,647 ", $0.472096 ,"  107,492,220 * "," $55,911 ",2.10%,3.63%,6.22%
196, 197 ,  WPR WePower ,WPR," $49,100,550 ", $0.121875 ,"  402,876,311 * "," $9,554,400 ",0.75%,13.34%,44.94%
197, 198 ,  PPC Peercoin ,PPC," $48,861,435 ", $1.98 ,"  24,713,439 "," $430,408 ",-0.16%,4.46%,23.93%
198, 199 ,  MDS MediShares ,MDS," $48,628,940 ", $0.095962 ,"  506,750,987 * "," $9,529,400 ",1.38%,2.10%,26.99%
199, 200 ,  APPC AppCoins ,APPC," $47,607,643 ", $0.475818 ,"  100,054,312 * "," $4,072,530 ",-1.14%,8.74%,44.66%
200, 201 ,  XP Experience Po... ,XP," $47,347,318 ", $0.000211 ,"  224,089,006,874 "," $165,531 ",23.47%,23.39%,33.42%
201, 202 ,  WABI WaBi ,WABI," $47,220,847 ", $1.04 ,"  45,248,033 * "," $1,668,020 ",-0.85%,11.45%,58.44%
202, 203 ,  XAS Asch ,XAS," $47,139,028 ", $0.504942 ,"  93,355,331 "," $823,106 ",0.98%,-0.26%,6.64%
203, 204 ,  BCO BridgeCoin ,BCO," $47,070,720 ", $1.74 ,"  27,000,000 "," $21,952 ",0.20%,4.03%,2.64%
204, 205 ,  UTNP Universa ,UTNP," $46,938,363 ", $0.026703 ,"  1,757,773,857 * "," $80,272 ",3.97%,3.99%,45.07%
205, 206 ,  DNT district0x ,DNT," $46,867,920 ", $0.078113 ,"  600,000,000 * "," $10,407,400 ",-1.92%,6.64%,45.54%
206, 207 ,  PRL Oyster ,PRL," $46,727,918 ", $0.599330 ,"  77,966,926 * "," $1,393,860 ",-2.63%,-8.40%,-28.44%
207, 208 ,  FTC Feathercoin ,FTC," $46,464,197 ", $0.234920 ,"  197,787,320 "," $301,651 ",0.37%,2.97%,19.97%
208, 209 ,  VIA Viacoin ,VIA," $46,446,141 ", $2.02 ,"  23,016,270 "," $2,610,180 ",-0.46%,9.21%,49.18%
209, 210 ,  TNT Tierion ,TNT," $46,338,107 ", $0.108145 ,"  428,481,269 * "," $37,945,100 ",-0.66%,21.08%,51.44%
210, 211 ,  VIBE VIBE ,VIBE," $45,745,699 ", $0.228827 ,"  199,913,907 * "," $1,549,350 ",3.05%,14.11%,39.44%
211, 212 ,  CRPT Crypterium ,CRPT," $45,544,417 ", $0.582733 ,"  78,156,577 * "," $562,623 ",1.84%,9.20%,30.59%
212, 213 ,  ORME Ormeus Coin ,ORME," $44,646,452 ", $2.62 ,"  17,029,321 * "," $5,778,070 ",-0.16%,5.13%,46.22%
213, 214 ,  MOD Modum ,MOD," $44,409,151 ", $2.43 ,"  18,266,200 * "," $3,454,320 ",0.83%,1.24%,38.71%
214, 215 ,  TAAS TaaS ,TAAS," $44,037,036 ", $5.41 ,"  8,146,001 * "," $233,182 ",-0.15%,3.29%,40.94%
215, 216 ,  TNC Trinity Netwo... ,TNC," $44,000,333 ", $0.132001 ,"  333,333,333 * "," $1,013,840 ",3.78%,13.34%,60.09%
216, 217 ,  ECC ECC ,ECC," $43,778,500 ", $0.001751 ,"  25,000,000,000 * "," $25,776 ",0.47%,9.59%,77.80%
217, 218 ,  WINGS Wings ,WINGS," $43,358,818 ", $0.483331 ,"  89,708,333 * "," $2,878,330 ",0.19%,3.13%,25.06%
218, 219 ,  BURST Burst ,BURST," $42,424,015 ", $0.022014 ,"  1,927,155,487 "," $1,334,170 ",0.31%,2.04%,52.20%
219, 220 ,  LBC LBRY Credits ,LBC," $41,787,785 ", $0.260647 ,"  160,323,293 "," $314,260 ",-0.84%,3.87%,38.23%
220, 221 ,  MGO MobileGo ,MGO," $41,734,520 ", $0.425737 ,"  98,028,877 * "," $2,095,840 ",-2.05%,-3.52%,22.31%
221, 222 ,  NLG Gulden ,NLG," $41,196,421 ", $0.104118 ,"  395,670,500 "," $225,484 ",-0.18%,9.04%,26.36%
222, 223 ,  PRE Presearch ,PRE," $40,821,420 ", $0.263364 ,"  155,000,000 * "," $7,247 ",-0.19%,5.57%,26.60%
223, 224 ,  BRD Bread ,BRD," $40,616,736 ", $0.546009 ,"  74,388,400 * "," $554,024 ",0.76%,7.82%,28.70%
224, 225 ,  INS INS Ecosystem ,INS," $40,510,509 ", $1.34 ,"  30,300,918 * "," $3,474,210 ",-0.17%,2.96%,24.27%
225, 226 ,  XCP Counterparty ,XCP," $40,494,946 ", $15.48 ,"  2,616,544 * "," $135,083 ",-1.03%,2.69%,28.52%
226, 227 ,  QLC QLINK ,QLC," $39,806,400 ", $0.165860 ,"  240,000,000 * "," $11,109,000 ",0.57%,15.60%,33.17%
227, 228 ,  ETP Metaverse ETP ,ETP," $39,305,196 ", $1.03 ,"  38,174,097 "," $2,026,320 ",-1.06%,14.97%,65.01%
228, 229 ,  TRAC OriginTrail ,TRAC," $38,680,575 ", $0.151982 ,"  254,507,606 * "," $152,333 ",-0.27%,3.02%,27.45%
229, 230 ,  KICK KickCoin ,KICK," $38,415,647 ", $0.084209 ,"  456,195,696 * "," $758,208 ",0.86%,7.15%,44.09%
230, 231 ,  MLN Melon ,MLN," $37,938,364 ", $63.29 ,"  599,400 * "," $107,529 ",-0.50%,3.69%,37.46%
231, 232 ,  SOAR Soarcoin ,SOAR," $37,377,535 ", $0.034568 ,"  1,081,269,353 * "," $31,578 ",-0.18%,8.32%,25.77%
232, 233 ,  JNT Jibrel Network ,JNT," $37,087,350 ", $0.247249 ,"  150,000,000 * "," $307,275 ",0.24%,10.44%,46.60%
233, 234 ,  FUEL Etherparty ,FUEL," $36,574,626 ", $0.075308 ,"  485,669,793 * "," $1,662,360 ",-0.45%,4.09%,38.70%
234, 235 ,  BCPT BlockMason Cr... ,BCPT," $36,080,765 ", $0.506468 ,"  71,239,970 * "," $10,603,500 ",0.17%,14.44%,35.13%
235, 236 ,  UP UpToken ,UP," $35,078,788 ", $0.253082 ,"  138,606,412 * "," $8,547,400 ",-0.17%,6.41%,106.95%
236, 237 ,  LGO Legolas Exchange ,LGO," $34,433,748 ", $0.290150 ,"  118,675,679 * "," $210,238 ",-0.98%,15.15%,58.04%
237, 238 ,  NGC NAGA ,NGC," $34,048,134 ", $0.590372 ,"  57,672,338 * "," $899,494 ",-2.06%,-4.05%,6.49%
238, 239 ,  XBY XTRABYTES ,XBY," $33,679,879 ", $0.078325 ,"  430,000,000 * "," $103,140 ",-2.32%,-0.70%,5.70%
239, 240 ,  CSC CasinoCoin ,CSC," $33,559,903 ", $0.000933 ,"  35,973,085,511 * "," $20,580 ",-0.36%,-11.17%,-3.03%
240, 241 ,  IHT IHT Real Esta... ,IHT," $33,403,169 ", $0.098035 ,"  340,725,929 * "," $3,498,020 ",0.63%,4.33%,24.08%
241, 242 ,  WGR Wagerr ,WGR," $33,319,176 ", $0.182072 ,"  183,000,000 * "," $24,203 ",-0.54%,5.55%,25.34%
242, 243 ,  CDT Blox ,CDT," $33,147,732 ", $0.050451 ,"  657,023,039 * "," $3,149,670 ",-1.27%,10.42%,43.66%
243, 244 ,  RKT Rock ,RKT," $32,767,107 ", $0.118432 ,"  276,674,437 * "," $21,701 ",0.33%,4.02%,11.33%
244, 245 ,  INT Internet Node... ,INT," $32,053,650 ", $0.213691 ,"  150,000,000 * "," $2,478,680 ",14.98%,28.49%,89.90%
245, 246 ,  XEL Elastic ,XEL," $31,961,592 ", $0.349760 ,"  91,381,496 * "," $104,562 ",0.05%,4.72%,70.30%
246, 247 ,  POT PotCoin ,POT," $31,683,613 ", $0.144182 ,"  219,747,354 * "," $346,724 ",-2.40%,11.40%,64.22%
247, 248 ,  DPY Delphy ,DPY," $31,674,177 ", $0.817398 ,"  38,750,005 * "," $1,108,330 ",-0.66%,5.37%,17.70%
248, 249 ,  ONION DeepOnion ,ONION," $31,624,752 ", $2.08 ,"  15,221,918 "," $82,442 ",-1.21%,12.59%,32.21%
249, 250 ,  TIO Trade Token ,TIO," $31,521,479 ", $0.207553 ,"  151,871,951 * "," $128,974 ",0.01%,7.93%,13.56%
250, 251 ,  DCT DECENT ,DCT," $31,255,618 ", $0.609199 ,"  51,306,089 * "," $2,261,260 ",2.44%,7.19%,47.49%
251, 252 ,  TRIG Triggers ,TRIG," $31,233,141 ", $0.972826 ,"  32,105,578 * "," $3,728,030 ",-0.93%,7.53%,33.35%
252, 253 ,  BITCNY bitCNY ,BITCNY," $31,062,939 ", $0.175755 ,"  176,740,000 * "," $6,457,150 ",0.56%,2.58%,1.84%
253, 254 ,  RVN Ravencoin ,RVN," $30,306,245 ", $0.035641 ,"  850,310,160 "," $244,618 ",-0.53%,-6.22%,-14.89%
254, 255 ,  GTC Game.com ,GTC," $30,198,727 ", $0.053411 ,"  565,404,872 * "," $3,217,210 ",-0.88%,7.99%,26.23%
255, 256 ,  AEON Aeon ,AEON," $30,030,345 ", $1.91 ,"  15,717,921 "," $113,981 ",1.20%,9.39%,24.07%
256, 257 ,  CFI Cofound.it ,CFI," $29,980,730 ", $0.092248 ,"  325,000,000 * "," $1,307,160 ",0.37%,5.67%,40.17%
257, 258 ,  BTO Bottos ,BTO," $29,433,928 ", $0.082815 ,"   355,419,546 * "," $829,537 ",-3.32%,-0.96%,11.58%
258, 259 ,  TOMO TomoChain ,TOMO," $29,354,600 ", $0.533720 ,"  55,000,000 * "," $211,991 ",0.09%,9.67%,41.38%
259, 260 ,  UKG Unikoin Gold ,UKG," $29,238,168 ", $0.207330 ,"  141,022,371 * "," $2,584,010 ",1.14%,6.15%,36.25%
260, 261 ,  SHIFT Shift ,SHIFT," $29,062,241 ", $2.44 ,"  11,928,550 * "," $1,458,800 ",-1.30%,4.88%,43.65%
261, 262 ,  VIB Viberate ,VIB," $28,967,823 ", $0.172373 ,"  168,053,133 * "," $1,810,880 ",0.15%,2.62%,35.10%
262, 263 ,  FAIR FairCoin ,FAIR," $28,756,373 ", $0.540596 ,"  53,193,831 * "," $1,550 ",-0.18%,27.05%,53.37%
263, 264 ,  SBD Steem Dollars ,SBD," $28,559,637 ", $2.45 ,"  11,675,246 * "," $8,549,440 ",-1.68%,6.67%,22.39%
264, 265 ,  GUP Matchpool ,GUP," $28,174,500 ", $0.375660 ,"  75,000,000 * "," $14,450,900 ",-0.80%,8.23%,129.95%
265, 266 ,  SXDT Spectre.ai Di... ,SXDT," $28,089,169 ", $0.342244 ,"  82,073,519 * "," $35,411 ",-0.32%,-6.64%,37.29%
266, 267 ,  HMQ Humaniq ,HMQ," $28,084,738 ", $0.172444 ,"  162,862,944 * "," $947,176 ",-0.65%,7.44%,34.28%
267, 268 ,  LET LinkEye ,LET," $27,922,200 ", $0.046537 ," 600,000,000 * "," $5,591,330 ",1.07%,6.43%,34.76%
268, 269 ,  REN Republic Prot... ,REN," $27,892,508 ", $0.060711 ,"  459,428,613 * "," $1,916,160 ",-0.52%,25.16%,75.07%
269,  270 ,  TKN TokenCard ,TKN," $27,753,275 ", $1.16 ,"  23,911,632 * "," $162,731 ",-0.53%,0.75%,34.87%
270, 271 ,  AMP Synereo ,AMP," $27,686,958 ", $0.274867 ,"  100,728,564 * "," $1,251,190 ",0.60%,8.72%,20.46%
271, 272 ,  HAV Havven ,HAV," $27,267,629 ", $0.451011 ,"  60,458,900 * "," $344,017 ",3.04%,12.01%,26.28%
272, 273 ,  CRW Crown ,CRW," $26,980,614 ", $1.50 ,"  18,004,841 "," $50,877 ",-0.02%,9.23%,29.47%
273, 274 ,  EKT EDUCare ,EKT," $26,810,245 ", $0.076601 ,"  350,000,000 * "," $10,203,400 ",-1.25%,7.63%,33.75%
274, 275 ,  YOYOW YOYOW ,YOYOW," $26,722,629 ", $0.102251 ,"  261,343,445 * "," $2,081,780 ",-0.75%,4.70%,15.18%
275, 276 ,  UNO Unobtanium ,UNO," $26,632,729 ", $134.17 ,"  198,498 "," $1,430 ",-0.77%,2.43%,3.79%
276, 277 ,  NET Nimiq Exchang... ,NET," $26,480,895 ", $2.52 ,"  10,500,000 * "," $168,048 ",-0.34%,2.80%,33.54%
277, 278 ,  MOBI Mobius ,MOBI," $26,371,487 ", $0.070014 ,"  376,657,502 * "," $529,087 ",-1.17%,8.63%,15.65%
278, 279 ,  INK Ink ,INK," $26,318,665 ", $0.056732 ,"  463,910,527 * "," $2,446,570 ",-3.01%,2.47%,-11.09%
279, 280 ,  ELEC Electrify.Asia ,ELEC," $25,885,592 ", $0.086800 ,"  298,219,727 * "," $1,559,850 ",2.72%,20.79%,77.12%
280, 281 ,  $PAC PACcoin ,$PAC," $25,787,183 ", $0.007490 ,"  3,442,923,006 "," $174,960 ",-0.27%,-0.91%,55.04%
281, 282 ,  CPC CPChain ,CPC," $25,559,038 ", $0.112736 ,"  226,715,852 * "," $1,253,760 ",-0.53%,5.36%,23.88%
282, 283 ,  NMC Namecoin ,NMC," $25,556,012 ", $1.73 ,"  14,736,400 "," $196,666 ",-0.14%,2.07%,12.96%
283, 284 ,  ADT adToken ,ADT," $25,460,160 ", $0.042434 ,"  600,000,000 * "," $2,952,210 ",-1.43%,7.69%,42.98%
284, 285 ,  ERA ERA ,ERA," $24,916,792 ", $0.074967 ,"  332,369,691 ", $763 ,11.66%,0.79%,5.68%
285, 286 ,  SPC SpaceChain ,SPC," $24,599,403 ", $0.047767 ,"  514,991,707 * "," $22,259 ",-1.12%,1.67%,33.70%
286, 287 ,  LUN Lunyr ,LUN," $24,575,309 ", $10.69 ,"  2,297,853 * "," $4,453,820 ",0.12%,6.00%,29.52%
287, 288 ,  DAI Dai ,DAI," $24,455,841 ", $0.999010 ,"  24,480,076 * "," $22,043,600 ",-0.10%,-0.31%,-0.14%
288, 289 ,  ECA Electra ,ECA," $24,429,025 ", $0.001004 ,"  24,326,367,665 "," $375,165 ",-6.62%,2.12%,27.77%
289, 290 ,  SAFEX Safe Exchange... ,SAFEX," $24,173,409 ", $0.015665 ,"  1,543,157,590 * "," $13,194 ",-0.33%,0.42%,18.01%
290, 291 ,  BKX Bankex ,BKX," $24,059,362 ", $0.347125 ,"  69,310,370 * "," $2,086,380 ",0.19%,5.53%,41.03%
291, 292 ,  LEO LEOcoin ,LEO," $24,050,426 ", $0.237824 ,"  101,126,995 * "," $5,011 ",-0.02%,-1.20%,-4.04%
292, 293 ,  HST Decision Token ,HST," $23,788,976 ", $0.742802 ,"  32,025,998 * "," $176,308 ",1.34%,18.39%,68.61%
293, 294 ,  BITB Bean Cash ,BITB," $23,572,819 ", $0.009577 ,"  2,461,304,000 * "," $1,033,220 ",0.10%,5.95%,34.50%
294, 295 ,  1ST FirstBlood ,1ST," $23,552,337 ", $0.275278 ,"  85,558,371 * "," $854,928 ",8.50%,37.64%,69.51%
295, 296 ,  DMT DMarket ,DMT," $23,545,211 ", $0.594428 ,"  39,609,863 * "," $3,240,540 ",-0.70%,16.96%,36.14%
296, 297 ,  DAT Datum ,DAT," $23,445,250 ", $0.027390 ,"  855,990,957 * "," $2,071,820 ",0.97%,10.22%,28.15%
297, 298 ,  GRID Grid+ ,GRID," $23,348,263 ", $0.595065 ,"  39,236,491 * "," $10,162 ",-0.16%,6.79%,24.92%
298, 299 ,  BAX BABB ,BAX," $23,193,185 ", $0.001710 ,"  13,564,535,018 * "," $1,256,250 ",5.70%,50.06%,320.50%
299, 300 ,  ZPT Zeepin ,ZPT," $23,142,552 ", $0.078762 ,"  293,827,778 * "," $1,015,190 ",-2.30%,2.75%,56.75%
300, 301 ,  IOC I/O Coin ,IOC," $23,022,728 ", $1.38 ,"  16,653,208 * "," $45,290 ",1.07%,9.18%,51.60%
301, 302 ,  QUN QunQun ,QUN," $22,740,621 ", $0.033029 ,"  688,498,425 * "," $3,494,450 ",0.37%,8.26%,42.87%
302, 303 ,  KRM Karma ,KRM," $22,687,852 ", $0.012726 ,"  1,782,809,241 * "," $150,786 ",3.58%,6.82%,39.46%
303, 304 ,  MER Mercury ,MER," $22,551,100 ", $0.225511 ,"  100,000,000 * "," $4,259,870 ",-0.88%,6.89%,24.09%
